feature,importance
43,1052
42,953
41,919
55,661
44,650
57,537
51,493
13,475
38,458
72,431
86,387
56,336
7,297
4,283
46,281
37,276
17,255
82,239
71,231
87,230
6,224
10,224
16,208
30,206
5,197
58,196
39,194
73,163
40,143
52,132
88,128
89,126
54,121
18,119
81,114
74,113
77,112
26,109
76,108
23,102
91,92
34,84
1,72
90,70
2,69
75,68
59,65
0,65
78,64
32,56
45,56
47,54
93,46
53,46
33,46
80,37
21,36
3,33
84,29
22,29
25,28
11,24
9,21
83,19
20,18
60,18
48,16
63,16
65,11
85,11
69,9
67,8
49,8
61,7
64,7
29,6
79,4
50,3
68,3
66,3
31,3
92,2
24,1
27,1
28,0
70,0
19,0
15,0
62,0
14,0
12,0
35,0
8,0
36,0
